#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321AD643B,,,
#Date Time: 2025-02-08 17:53:22.654,,,
#Sample rate: 800Hz,,,
#Samples: 6323,,,
#Trigger: Source: Digital,,,
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),applied_voltage
-1.83875,0.048501687,0.053475056,0
-1.8375,0.048501687,0.053475056,0
-1.83625,0.048501687,0.053475056,0
-1.835,0.048501687,0.049763241,0
-1.83375,0.048501687,0.049763241,0
-1.8325,0.048501687,0.049763241,0
-1.83125,0.048501687,0.053475056,0
-1.83,0.048501687,0.053475056,0
-1.82875,0.048501687,0.053475056,0
-1.8275,0.048501687,0.053475056,0
-1.82625,0.048501687,0.053475056,0
-1.825,0.048501687,0.049763241,0
-1.82375,0.048501687,0.049763241,0
-1.8225,0.048501687,0.049763241,0
-1.82125,0.048501687,0.049763241,0
-1.82,0.048501687,0.049763241,0
-1.81875,0.048501687,0.049763241,0
-1.8175,0.048501687,0.049763241,0
-1.81625,0.048501687,0.049763241,0
-1.815,0.048501687,0.049763241,0
-1.81375,0.048501687,0.053475056,0
-1.8125,0.048501687,0.053475056,0
-1.81125,0.048501687,0.053475056,0
-1.81,0.048501687,0.053475056,0
-1.80875,0.048501687,0.053475056,0
-1.8075,0.048501687,0.053475056,0
-1.80625,0.048501687,0.053475056,0
-1.805,0.048501687,0.053475056,0
-1.80375,0.048501687,0.053475056,0
-1.8025,0.048501687,0.053475056,0
-1.80125,0.048501687,0.053475056,0
-1.8,0.044783434,0.049763241,0
-1.79875,0.048501687,0.053475056,0
-1.7975,0.044783434,0.053475056,0
-1.79625,0.048501687,0.053475056,0
-1.795,0.048501687,0.053475056,0
-1.79375,0.048501687,0.053475056,0
-1.7925,0.048501687,0.053475056,0
-1.79125,0.048501687,0.053475056,0
-1.79,0.048501687,0.053475056,0
-1.78875,0.048501687,0.053475056,0
-1.7875,0.048501687,0.053475056,0
-1.78625,0.048501687,0.049763241,0
-1.785,0.048501687,0.053475056,0
-1.78375,0.048501687,0.053475056,0
-1.7825,0.048501687,0.053475056,0
-1.78125,0.048501687,0.049763241,0
-1.78,0.048501687,0.049763241,0
-1.77875,0.048501687,0.053475056,0
-1.7775,0.048501687,0.053475056,0
-1.77625,0.048501687,0.053475056,0
-1.775,0.048501687,0.053475056,0
-1.77375,0.048501687,0.053475056,0
-1.7725,0.048501687,0.053475056,0
-1.77125,0.048501687,0.053475056,0
-1.77,0.048501687,0.053475056,0
-1.76875,0.048501687,0.053475056,0
-1.7675,0.048501687,0.049763241,0
-1.76625,0.048501687,0.053475056,0
-1.765,0.048501687,0.053475056,0
-1.76375,0.048501687,0.049763241,0
-1.7625,0.048501687,0.049763241,0
-1.76125,0.048501687,0.049763241,0
-1.76,0.048501687,0.049763241,0
-1.75875,0.048501687,0.053475056,0
-1.7575,0.048501687,0.053475056,0
-1.75625,0.048501687,0.053475056,0
-1.755,0.048501687,0.049763241,0
-1.75375,0.048501687,0.049763241,0
-1.7525,0.048501687,0.053475056,0
-1.75125,0.048501687,0.053475056,0
-1.75,0.048501687,0.053475056,0
-1.74875,0.048501687,0.053475056,0
-1.7475,0.048501687,0.053475056,0
-1.74625,0.048501687,0.053475056,0
-1.745,0.048501687,0.053475056,0
-1.74375,0.048501687,0.053475056,0
-1.7425,0.048501687,0.053475056,0
-1.74125,0.048501687,0.053475056,0
-1.74,0.044783434,0.053475056,0
-1.73875,0.044783434,0.053475056,0
-1.7375,0.048501687,0.053475056,0
-1.73625,0.048501687,0.049763241,0
-1.735,0.044783434,0.053475056,0
-1.73375,0.044783434,0.053475056,0
-1.7325,0.048501687,0.053475056,0
-1.73125,0.048501687,0.049763241,0
-1.73,0.044783434,0.049763241,0
-1.72875,0.044783434,0.053475056,0
-1.7275,0.044783434,0.053475056,0
-1.72625,0.044783434,0.053475056,0
-1.725,0.044783434,0.053475056,0
-1.72375,0.044783434,0.053475056,0
-1.7225,0.048501687,0.053475056,0
-1.72125,0.048501687,0.053475056,0
-1.72,0.048501687,0.053475056,0
-1.71875,0.048501687,0.053475056,0
-1.7175,0.048501687,0.053475056,0
-1.71625,0.048501687,0.053475056,0
-1.715,0.048501687,0.049763241,0
-1.71375,0.044783434,0.053475056,0
-1.7125,0.044783434,0.053475056,0
-1.71125,0.048501687,0.053475056,0
-1.71,0.044783434,0.053475056,0
-1.70875,0.044783434,0.049763241,0
-1.7075,0.048501687,0.053475056,0
-1.70625,0.048501687,0.053475056,0
-1.705,0.048501687,0.053475056,0
-1.70375,0.048501687,0.053475056,0
-1.7025,0.048501687,0.053475056,0
-1.70125,0.048501687,0.053475056,0
-1.7,0.048501687,0.053475056,0
-1.69875,0.048501687,0.053475056,0
-1.6975,0.048501687,0.053475056,0
-1.69625,0.048501687,0.053475056,0
-1.695,0.048501687,0.053475056,0
-1.69375,0.048501687,0.053475056,0
-1.6925,0.048501687,0.053475056,0
-1.69125,0.048501687,0.053475056,0
-1.69,0.048501687,0.053475056,0
-1.68875,0.048501687,0.053475056,0
-1.6875,0.048501687,0.053475056,0
-1.68625,0.048501687,0.053475056,0
-1.685,0.044783434,0.053475056,0
-1.68375,0.044783434,0.053475056,0
-1.6825,0.048501687,0.053475056,0
-1.68125,0.048501687,0.053475056,0
-1.68,0.048501687,0.053475056,0
-1.67875,0.048501687,0.053475056,0
